Year,Month,Country,all_Northing,all_Easting,Lat,Lon
2020,Dec,ERITREA,"['1551N', '1723N', '1507N', '1515N', '1441N']","['3903E', '3833E', '4004E', '3937E', '4057E']",14.41,40.57
2020,Dec,ETHIOPIA,"['0410N', '0504N', '0919N']","['4203E', '3723E', '4206E']",09.19,42.06
2020,Dec,SOMALIA,"['0646N', '0444N', '0931N', '1040N', '1017N', '0930N', '1023N', '1118N']","['4725E', '4512E', '4402E', '4720E', '5014E', '4905E', '4425E', '4910E']",11.18,49.10
2020,Dec,KENYA,"['0216S', '0402S', '0247N', '0356N']","['4054E', '3939E', '3930E', '4113E']",03.56,41.13
2020,Dec,EGYPT,"['2224N', '2213N', '2308N', '2359N', '2247N', '2219N']","['3624E', '3638E', '3535E', '3524E', '3126E', '3138E']",22.19,31.38
2020,Dec,SAUDI ARABIA,"['1909N', '2125N', '2501N', '1656N', '2130N', '2309N', '2008N', '2346N', '2621N', '2731N']","['4107E', '3949E', '3716E', '4233E', '3910E', '3851E', '4016E', '3847E', '4358E', '4141E']",27.31,41.41
2021,Dec,EGYPT,['412N'],['3438E'],41.2,34.38
2021,Dec,ETHIOPIA,['0520N'],['3726E'],05.20,37.26
2021,Dec,SOMALIA,"['0930N', '1028N', '1023N']","['4905E', '4502E', '4425E']",10.23,44.25
2021,Dec,SUDAN,"['1803N', '2002N']","['3057E', '3551E']",20.02,35.51
2011,Feb,Mauritania,"['2244N', '2510N']","['1221W', '1135W']",25.10,-11.35
2011,Feb,Algeria,"['2753N', '2712N', '2250N', '2434N']","['0017W', '0229E', '0528E', '0930E']",24.34,09.30
2011,Feb,Morocco,"['2119N', '2137N', '2223N', '2859N', '3207N', '3128N']","['1528W', '1453W', '1502W', '1003W', '0113W', '0410W']",31.28,-04.10
2011,Feb,Egypt,"['2308N', '2359N', '2219N']","['3535E', '3524E', '3138E']",22.19,31.38
2011,Feb,Arabia,"['2008N', '1909N', '2215N', '2405N', '2115N', '2001N', '2542N', '2119N', '2009N', '1855N']","['4016E', '4107E', '3906E', '3802E', '4021E', '4129E', '3917E', '3613E', '3706E', '3648E']",18.55,36.48
2012,Feb,Algeria,"['2610N', '2630N', '2250N', '2434N', '2753N', '2741N']","['0923E', '0825E', '0528E', '0930E', '0017W', '0811W']",27.41,-08.11
2012,Feb,Libya,['2459N'],['1011E'],24.59,10.11
2013,Feb,Mauritania,['2056N'],['1702W'],20.56,-17.02
2013,Feb,Morocco,"['2223N', '2607N', '2342N', '2353N']","['1502W', '1429W', '1555W', '1431W']",23.53,-14.31
2013,Feb,Egypt,"['2359N', '2428N', '2504N', '2717N', '2906N', '2308N']","['3524E', '3257E', '3454E', '3347E', '3239E', '3535E']",23.08,35.35
2013,Feb,Arabia,"['2247N', '2346N', '2008N', '2719N']","['3901E', '3847E', '4016E', '3546E']",27.19,35.46
2014,Feb,Libya,"['1946N', '1810N', '2002N', '1932N']","['3710E', '3816E', '3551E', '3320E']",19.32,33.20
2014,Feb,Sudan,"['1946N', '1810N', '2002N', '1932N']","['3710E', '3816E', '3551E', '3320E']",19.32,33.20
2014,Feb,Eritrea,"['1528N', '1441N', '1628N']","['3953E', '4057E', '3856E']",16.28,38.56
2014,Feb,Somalia,"['1041N', '1058N', '0931N']","['4356E', '4326E', '4533E']",09.31,45.33
2014,Feb,Arabia,"['2008N', '1656N', '2405N', '2346N', '2615N', '2501N', '2115N']","['4016E', '4233E', '3802E', '3847E', '3627E', '3716E', '4021E']",21.15,40.21
2014,Feb,Yemen,"['1541N', '1600N', '1542N', '1335N', '1358N', '1250N']","['4300E', '4312E', '4241E', '4401E', '4411E', '4503E']",12.50,45.03
2015,Feb,Eritrea,"['1723N', '1745N', '1628N', '1626N', '1640N']","['3833E', '3820E', '3856E', '3840E', '3828E']",16.40,38.28
2015,Feb,Arabia,"['2125N', '2215N', '2405N', '2008N', '1909N', '1656N']","['3949E', '3906E', '3802E', '4016E', '4107E', '4233E']",16.56,42.33
2016,Feb,Mauritania,"['2244N', '2510N', '2410N', '2119N']","['1221W', '1135W', '0952W', '1420W']",21.19,-14.20
2016,Feb,Morocco,"['2137N', '2233N']","['1453W', '1419W']",22.33,-14.19
2017,Feb,Mauritania,"['1945N', '2003N', '2510N']","['1421W', '1301W', '1135W']",25.10,-11.35
2017,Feb,Sudan,"['1827N', '1753N', '2002N', '1932N']","['3741E', '3819E', '3551E', '3320E']",19.32,33.20
2019,Feb,SUDAN,"['1938N', '1910N']","['3713E', '3027E']",19.10,30.27
2019,Feb,ERITREA,"['1723N', '1515N']","['3833E', '3937E']",15.15,39.37
2019,Feb,EGYPT,"['2224N', '2308N', '2213N', '2247N', '2219N', '2317N']","['3624E', '3535E', '3638E', '3126E', '3138E', '3252E']",23.17,32.52
2019,Feb,SAUDI ARABIA,"['2008N', '2615N', '2215N', '2309N', '2405N', '2700N', '2248N', '2621N']","['4016E', '3627E', '3906E', '3851E', '3802E', '4939E', '4210E', '4358E']",26.21,43.58
2019,Feb,IRAN,"['2652N', '2634N', '2708N', '2854N', '2731N', '2540N']","['5329E', '5452E', '5705E', '5050E', '5752E', '5746E']",25.40,57.46
2020,Feb,SUDAN,"['1753N', '1745N', '2146N', '1734N', '1830N']","['3811E', '3819E', '3820E', '3651E', '3358E', '3149E']",18.30,31.49
2020,Feb,ERITREA,['1537N'],['3928E'],15.37,39.28
2020,Feb,ETHIOPIA,"['0831N', '0919N']","['3915E', '4206E']",09.19,42.06
2020,Feb,EGYPT,"['2412N', '2308N', '2247N', '2219N']","['3438E', '3535E', '3126E', '3138E']",22.19,31.38
2020,Feb,SAUDI ARABIA,"['1909N', '1729N', '2523N', '2821N']","['4107E', '4408E', '4935E', '4556E']",28.21,45.56
2020,Feb,YEMEN,"['1541N', '1600N', '1458N', '1303N', '1435N', '1452N', '1610N', '1521N', '1608N', '1542N']","['4300E', '4312E', '4314E', '4453E', '4649E', '4545E', '4446E', '4412E', '4714E', '4817E']",15.42,48.17
2020,Feb,OMAN,"['2234N', '2337N', '2333N', '1939N', '2223N', '2415N']","['5930E', '5833E', '5733E', '5743E', '5731E', '5547E']",24.15,55.47
2020,Feb,IRAQ,"['3031N', '3103N']","['4749E', '4616E']",31.03,46.16
2020,Feb,UAE,['2429N'],['5217E'],24.29,52.17
2020,Feb,IRAN,"['2708N', '2540N', '2534N', '2710N', '2605N']","['5705E', '5746E', '5923E', '5833E', '6145E']",26.05,61.45
2020,Feb,PAKISTAN,"['2749N', '2856N', '2600N', '2832N']","['6639E', '6430E', '6303E', '6526E']",28.32,65.26
2020,Feb,INDIA,"['2652N', '2919N', '2543N', '2706N']","['7055E', '7354E', '7125E', '7222E']",27.06,72.22
2021,Feb,SUDAN,"['2002N', '2119N', '1753N', '1827N', '1906N', '1841N', '1820N', '1641N', '1910N']","['3551E', '3613E', '3819E', '3741E', '3719E', '3724E', '3621E', '3322E', '3027E']",19.10,30.27
2021,Feb,ERITREA,"['1723N', '1548N', '1555N', '1515N', '1527N']","['3833E', '3918E', '3910E', '3937E']",15.15,39.37
2021,Feb,ETHIOPIA,"['0403N', '0602N', '0922N', '0935N']","['3815E', '3733E', '4250E', '4150E']",09.35,41.50
2021,Feb,SOMALIA,"['0931N', '0931N', '1109N', '1118N', '1017N', '1040N', '0824N', '0202N']","['4402E', '4533E', '4811E', '4910E', '5014E', '4720E', '4829E', '4520E']",02.02,45.20
2021,Feb,KENYA,[],[],Missing,Missing
2021,Feb,TANZANIA,"['0404S', '0244N', '0307N', '0322S']","['3708E', '3642E', '3703E', '3642E']",03.22,36.42
2021,Feb,EGYPT,"['2213N', '2224N', '2504N', '2359N', '2247N', '2219N']","['3638E', '3624E', '3454E', '3524E', '3126E', '3138E']",22.19,31.38
2021,Feb,SAUDI ARABIA,"['2008N', '1656N', '2439N', '2731N', '2215N', '2615N', '2346N', '2733N']","['4016E', '4233E', '4642E', '4141E', '3906E', '3627E', '3847E', '4742E']",27.33,47.42
2011,Jan,Mauritania,"['2027N', '2244N', '2510N']","['1221W', '1221W', '1135W']",25.10,-11.35
2011,Jan,Morocco,"['2136N', '2137N', '2155N', '2920N', '3019N', '3128N']","['1628W', '1453W', '1441W', '0817W', '0550W', '0410W']",31.28,-04.10
2011,Jan,Sudan,"['2034N', '2145N', '1906N', '1938N', '2009N', '1753N']","['3701E', '3644E', '3719E', '3713E', '3706E', '3819E']",17.53,38.19
2011,Jan,Egypt,"['2359N', '2308N', '2224N', '2219N', '2247N']","['3524E', '3535E', '3624E', '3138E', '3126E']",22.47,31.26
2011,Jan,Arabia,"['2008N', '2215N', '2405N', '2247N']","['4016E', '3906E', '3802E', '3901E']",22.47,39.01
2012,Jan,Algeria,"['2434N', '2753N', '2741N', '2250N', '1813N', '1753N', '2002N']","['0930E', '0811W', '0528E', '3811E', '3819E', '3551E']",20.02,35.51
2013,Jan,Mauritania,"['1833N', '1945N', '2032N', '2510N']","['1126W', '1421W', '1308W', '1135W']",25.10,-11.35
2013,Jan,Algeria,"['2753N', '2434N', '2250N', '2741N']","['0017W', '0930E', '0528E', '0811W']",27.41,-08.11
2013,Jan,Egypt,['2359N'],['3524E'],23.59,35.24
2013,Jan,Arabia,"['2130N', '2405N', '2008N', '1909N', '2346N', '2247N']","['3910E', '3802E', '4016E', '4107E', '3847E', '3901E']",22.47,39.01
2014,Jan,Niger,['1806N'],['1134E'],18.06,11.34
2014,Jan,Algeria,['2753N'],['0017W'],Missing,Missing
2014,Jan,Sudan,"['1827N', '1813N', '1753N', '1938N', '2009N', '2002N', '1641N', '1932N']","['3741E', '3811E', '3819E', '3713E', '3706E', '3551E', '3322E', '3320E']",19.32,33.20
2014,Jan,Eritrea,"['1723N', '1537N', '1507N']","['3833E', '3928E', '4004E']",15.07,40.04
2014,Jan,Arabia,"['2008N', '1656N', '1909N', '2115N', '2247N', '2542N', '2731N']","['4016E', '4233E', '4107E', '4021E', '3901E', '3917E', '4141E']",27.31,41.41
2014,Jan,Yemen,"['1541N', '1619N', '1302N']","['4300E', '4248E', '4434E']",13.02,44.34
2015,Jan,Eritrea,"['1551N', '1628N', '1745N']","['3903E', '3856E', '3820E']",17.45,38.20
2015,Jan,Arabia,"['2405N', '2501N', '1909N', '2008N', '2125N', '2215N']","['3802E', '3716E', '4107E', '4016E', '3949E', '3906E']",22.15,39.06
2016,Jan,Mauritania,"['2244N', '2510N', '2410N', '1945N', '2032N', '2119N']","['1221W', '1135W', '0952W', '1421W', '1308W', '1420W']",21.19,-14.20
2016,Jan,Morocco,"['2233N', '2137N', '2136N', '2508N', '2707N']","['1419W', '1453W', '1628W', '1222W', '1112W']",27.07,-11.12
