Year,Month,Country,all_Northing,all_Easting,possible_treatment_Location,T_area (ha),Lat,Lon
2020,Aug,YEMEN,"['1610N', '1430N', '1608N', '1559N', '1542N', '1431N', '1521N', '1746N', '1416N', '1306N', '1333N', '1600N', '1410N']","['4446E', '4629E', '4714E', '4844E', '4817E', '4908E', '4412E', '5229E', '4735E', '4523E', '4644E', '4312E', '4318E']",Abs Zabid,5909,14.10,43.18
2020,Aug,OMAN,"['1700N', '1736N', '2234N', '2415N']","['5405E', '5401E', '5930E', '5547E']",Buraimi,58,24.15,55.47
2020,Aug,PAKISTAN,"['2507N', '2421N', '2751N', '2548N']","['7015E', '7045E', '7048E', '6637E']",Uthal,26381,25.48,66.37
2020,Aug,INDIA,"['2818N', '2919N']","['7458E', '7354E']",Suratgarh,49124,29.19,73.54
2019,Sep,ERITREA,"['1537N', '1548N', '1507N', '1551N']","['3928E', '3918E', '4004E', '3903E']",Sheib,53,15.51,39.03
2019,Sep,ETHIOPIA,"['1111N', '0935N', '1045N']","['4001E', '4150E', '4234E']",Ayasha,4636,10.45,42.34
2019,Sep,SAUDI ARABIA,"['1656N', '2008N']","['4233E', '4016E']",ith,4195,20.08,40.16
2019,Sep,YEMEN,"['1541N', '1619N', '1410N', '1527N', '1430N']","['4300E', '4248E', '4318E', '4519E', '4629E']",Nisab,245,14.30,46.29
2019,Sep,PAKISTAN,"['2751N', '2742N', '2542N', '2421N']","['7048E', '6854E', '7012E', '7045E']",Nagarparkar,30210,24.21,70.45
2019,Sep,INDIA,"['2543N', '2801N']","['7125E', '7322E']",Bikaner,84639,28.01,73.22
2020,Apr,ETHIOPIA,"['0602N', '0504N', '0520N', '0550N', '0935N', '0922N', '1045N']","['3733E', '3723E', '3935E', '4205E', '4150E', '4250E', '4234E']",Ayasha,99948,10.45,42.34
2020,Apr,SOMALIA,"['1023N', '0956N', '0931N', '0713N', '0532N']","['4425E', '4313E', '4533E', '4851E', '4623E']",Mareb,600,05.32,46.23
2020,Apr,KENYA,"['0105N', '0231N', '0318N']","['3411E', '3439E', '3253E']",Kitgum,14637,03.18,32.53
2020,Apr,SAUDI ARABIA,"['2523N', '2733N', '2218N', '2731N', '2948N']","['4935E', '4742E', '4643E', '4141E', '3952E']",Al Jawf,29868,29.48,39.52
2020,Apr,OMAN,"['2337N', '2333N', '2314N', '2415N', '2223N', '2234N', '1736N', '1641N']","['5833E', '5733E', '5630E', '5547E', '5731E', '5930E', '5401E', '5307E']",Sarfayt,4147,16.41,53.07
2020,Apr,UAE,"['2412N', '2421N']","['5538E', '5136E']",Ras Ghumais,1320,24.21,51.36
2020,Apr,IRAQ,"['3236N', '3158N', '3117N']","['4401E', '4453E', '4516E']",Samawah,815,31.17,45.16
2020,Apr,IRAN,"['2854N', '2634N', '2540N', '2517N', '2717N', '2731N', '2712N', '2930N', '3132N', '2901N']","['5050E', '5452E', '5746E', '6036E', '6159E', '5752E', '6042E', '6051E', '6002E', '6127E']",Mirjaveh,98658,29.01,61.27
2020,Apr,PAKISTAN,"['2749N', '2744N', '2933N', '2856N', '2658N', '2508N', '2515N', '2600N', '2742N', '7055N']","['6639E', '6448E', '6601E', '6430E', '6406E', '6219E', '6328E', '6303E', '6854E', '3150E']",Khan,50289,70.55,31.50
2020,Apr,INDIA,"['2955N', '3024N', '2652N']","['7353E', '7402E', '7055E']",Jaisalmer,1970,26.52,70.55
2020,Apr,AFGHANISTAN,"['3016N', '3057N']","['6203E', '6151E']",Zaranj,20,30.57,61.51
2020,Mar,SUDAN,"['1932N', '1832N', '1910N', '2122N']","['3320E', '3148E', '3027E', '2119E']",Oasis,870,21.22,21.19
2020,Mar,ERITREA,"['1441N', '1507N', '1537N']","['4057E', '4004E', '3928E']",Massawa,5640,15.37,39.28
2020,Mar,ETHIOPIA,['0935N'],['4150E'],Dawa,39656,09.35,41.50
